gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2574972750	89c53edb-0fac-4118-bdc0-d70ca50953dc	af95636d-bce2-448f-8d4b-6dbb71862e3b	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis riparia		SPECIES	Vitis riparia Michx.	Vitis riparia	Michx.	US	Along the High Line Canal Trail at Mile Marker 29. 1200 meters N of Newton Middle School.	Colorado			36488347-eceb-40ed-b687-406f3601d8cb	39.606796	-104.939188			1672.0				2018-08-15T00:00:00	15	8	2018	5372385	5372385	PRESERVED_SPECIMEN	DBG	KHD		2084	Christina Alba; Audrey Dignan	2018-01-01T00:00:00	CC0_1_0	Public Domain	Christina Alba; Audrey Dignan; Ken Kuhar			2020-03-06T20:05:40.005Z		COORDINATE_ROUNDED
2574971976	89c53edb-0fac-4118-bdc0-d70ca50953dc	e3a52ffd-2779-439b-8ef2-9d4f351f324d	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis riparia		SPECIES	Vitis riparia Michx.	Vitis riparia	Michx.	US	Unincorporated Douglas County south of City of Littleton. Along the High Line Canal at estimated Mile Marker 0 (inception of the Canal).	Colorado			36488347-eceb-40ed-b687-406f3601d8cb	39.48362	-105.11293			1698.0				2018-06-04T00:00:00	4	6	2018	5372385	5372385	PRESERVED_SPECIMEN	DBG	KHD		1220	Christina Alba; Audrey Dignan	2018-01-01T00:00:00	CC0_1_0	Public Domain	Christina Alba; Audrey Dignan; Chris Ruch; Tamara Hoffman			2020-03-06T20:05:41.070Z		
2573129421	e42c4be9-dc6d-466b-8df2-60ac8c47fadd	fd1af49c-f53f-4043-9802-25783cb2678e	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis riparia		SPECIES	Vitis riparia Michx.	Vitis riparia	Michx.	US		Vermont			fee1eb85-53bb-4edb-91cc-de55f11b3cee	44.62779	-72.81885	10017.0										5372385	5372385	PRESERVED_SPECIMEN	VT		UVMVT081421				CC_BY_4_0	University of Vermont				2020-04-03T21:13:53.700Z	StillImage	RECORDED_DATE_MISMATCH
2573129169	e42c4be9-dc6d-466b-8df2-60ac8c47fadd	f28dd4d0-5b09-4339-bcd9-e2b0af313a85	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis riparia		SPECIES	Vitis riparia Michx.	Vitis riparia	Michx.	US	River banks	Vermont			fee1eb85-53bb-4edb-91cc-de55f11b3cee	44.30894	-73.23596	8247.0						1879-10-05T00:00:00	5	10	1879	5372385	5372385	PRESERVED_SPECIMEN	VT		UVMVT081426				CC_BY_4_0	University of Vermont				2020-04-03T21:13:54.339Z	StillImage	
2573127344	e42c4be9-dc6d-466b-8df2-60ac8c47fadd	f723ed53-4838-47d8-bdc5-69d0f90162de	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis riparia		SPECIES	Vitis riparia Michx.	Vitis riparia	Michx.	US		Vermont			fee1eb85-53bb-4edb-91cc-de55f11b3cee	43.16564	-73.06853	7401.0						1898-06-26T00:00:00	26	6	1898	5372385	5372385	PRESERVED_SPECIMEN	VT		UVMVT081405	38			CC_BY_4_0	University of Vermont	M. A. Day			2020-04-03T21:13:53.692Z	StillImage	
2573126507	e42c4be9-dc6d-466b-8df2-60ac8c47fadd	fc830f1e-e487-43e4-a053-bb3773527ddb	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis riparia		SPECIES	Vitis riparia Michx.	Vitis riparia	Michx.	US		Vermont			fee1eb85-53bb-4edb-91cc-de55f11b3cee	44.6313	-73.31444	9307.0						1972-09-18T00:00:00	18	9	1972	5372385	5372385	PRESERVED_SPECIMEN	VT		UVMVT081404	30327			CC_BY_4_0	University of Vermont	Seymour, F. C.			2020-04-03T21:13:54.347Z	StillImage	
2573115037	e42c4be9-dc6d-466b-8df2-60ac8c47fadd	ced280ff-dfcf-420b-bee8-dcf845ea5ad4	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis riparia		SPECIES	Vitis riparia Michx.	Vitis riparia	Michx.	US	West shore of Connecticut River approx. .5 miles south of Vernon Dam	Vermont			fee1eb85-53bb-4edb-91cc-de55f11b3cee	42.76233	-72.52592	7462.0						1970-07-21T00:00:00	21	7	1970	5372385	5372385	PRESERVED_SPECIMEN	VT		UVMVT081433	2235			CC_BY_4_0	University of Vermont	WM. D. Countryman			2020-04-03T21:13:53.432Z	StillImage	
2573113404	e42c4be9-dc6d-466b-8df2-60ac8c47fadd	c9d29c86-bc6d-434e-b443-c965306c096f	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis riparia		SPECIES	Vitis riparia Michx.	Vitis riparia	Michx.	US		Vermont			fee1eb85-53bb-4edb-91cc-de55f11b3cee	44.55473	-73.21948	11376.0										5372385	5372385	PRESERVED_SPECIMEN	VT		UVMVT081435				CC_BY_4_0	University of Vermont				2020-04-03T21:13:53.656Z	StillImage	RECORDED_DATE_MISMATCH
2573112507	e42c4be9-dc6d-466b-8df2-60ac8c47fadd	c7df853e-8657-44fc-9f93-295274940c95	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis riparia		SPECIES	Vitis riparia Michx.	Vitis riparia	Michx.	US		Vermont			fee1eb85-53bb-4edb-91cc-de55f11b3cee	44.0044	-73.12177	7477.0						1880-09-25T00:00:00	25	9	1880	5372385	5372385	PRESERVED_SPECIMEN	VT		UVMVT109850		M. O. Moore		CC_BY_4_0	University of Vermont				2020-04-03T21:13:54.527Z	StillImage	
2573111950	e42c4be9-dc6d-466b-8df2-60ac8c47fadd	c1f195ed-e862-4de3-a520-3357f8fffbe7	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis riparia		SPECIES	Vitis riparia Michx.	Vitis riparia	Michx.	US	Bank of Winooski River	Vermont			fee1eb85-53bb-4edb-91cc-de55f11b3cee	44.31569	-72.36097	7956.0						2006-09-20T00:00:00	20	9	2006	5372385	5372385	PRESERVED_SPECIMEN	VT		UVMVT081398	06124			CC_BY_4_0	University of Vermont	A. V. Gilman			2020-04-03T21:13:54.753Z	StillImage	
